Country,Total Cases,Total Death,Total Cured,Active,Serious,Total Cases per 1M,Deaths per 1M,Total Tests,Population
Guinea,"4,258",23,"2,942","1,293",24,325,2,"14,407","13,109,226"
Ivory Coast,"4,181",41,"2,174","1,966",,159,2,"33,476","26,335,915"
Luxembourg,"4,049",110,"3,904",35,2,"6,475",176,"88,914","625,365"
Hungary,"4,039",553,"2,391","1,095",19,418,57,"222,247","9,661,588"
Haiti,"3,796",58,24,"3,714",,333,5,"7,906","11,394,459"
Gabon,"3,375",22,978,"2,375",17,"1,519",10,"18,753","2,222,362"
El Salvador,"3,373",64,"1,497","1,812",101,520,10,"116,027","6,484,427"
North Macedonia,"3,364",164,"1,664","1,536",34,"1,615",79,"39,033","2,083,378"
Thailand,"3,125",58,"2,987",80,1,45,0.8,"468,175","69,790,694"
Kenya,"3,094",89,"1,048","1,957",7,58,2,"102,956","53,696,273"
Greece,"3,068",183,"1,374","1,511",12,294,18,"240,924","10,425,563"
Bulgaria,"2,993",167,"1,664","1,162",17,431,24,"95,820","6,950,954"
Bosnia and Herzegovina,"2,775",161,"2,063",551,4,846,49,"73,379","3,281,811"
Venezuela,"2,738",23,487,"2,228",1,96,0.8,"1,053,417","28,439,993"
Ethiopia,"2,506",35,401,"2,070",32,22,0.3,"158,521","114,778,909"
Somalia,"2,452",85,506,"1,861",2,155,5,,"15,863,692"
Croatia,"2,249",106,"2,130",13,,548,26,"69,349","4,106,498"
Mayotte,"2,226",28,"1,654",544,12,"8,172",103,"8,800","272,390"
Cuba,"2,211",83,"1,886",242,1,195,7,"124,947","11,326,971"
Kyrgyzstan,"2,129",26,"1,630",473,6,327,4,"139,610","6,517,700"
Estonia,"1,965",69,"1,697",199,,"1,481",52,"93,837","1,326,489"
Maldives,"1,962",8,"1,121",833,9,"3,634",15,"28,940","539,964"
CAR,"1,888",5,38,"1,845",,391,1,"18,161","4,824,660"
Sri Lanka,"1,869",11,"1,150",708,1,87,0.5,"81,735","21,408,412"
Iceland,"1,807",10,"1,794",3,,"5,297",29,"62,911","341,121"
Lithuania,"1,752",74,"1,372",306,17,643,27,"350,788","2,723,992"
Mali,"1,667",96,948,623,,82,5,"3,483","20,211,691"
South Sudan,"1,604",19,15,"1,570",,143,2,"3,356","11,186,140"
Slovakia,"1,541",28,"1,409",104,,282,5,"193,471","5,459,505"
New Zealand,"1,504",22,"1,482",0,,301,4,"301,882","5,002,100"
Slovenia,"1,488",109,"1,359",20,,716,52,"87,058","2,078,923"
Nicaragua,"1,464",55,953,456,,221,8,,"6,619,991"
Costa Rica,"1,461",12,722,727,3,287,2,"30,372","5,091,493"
